,launch_speed,launch_angle,Home Run or Out
3259,79.0,19,Hit - Not Home Run
2784,99.6,-8,Hit - Not Home Run
12118,96.3,12,Hit - Not Home Run
13029,94.1,11,Hit - Not Home Run
14582,88.7,20,Out
5738,104.0,3,Out
14797,94.7,38,Out
11944,90.8,1,Out
11549,90.0,1,Hit - Not Home Run
6586,100.8,1,Hit - Not Home Run
14561,89.9,0,Out
13339,93.3,-1,Out
309,74.2,87,Out
7217,99.3,14,Hit - Not Home Run
6376,98.3,3,Out
12144,92.5,-29,Out
11367,82.9,-21,Out
13648,99.1,49,Out
14038,103.1,19,Home Run
14846,85.9,30,Out
3640,96.2,8,Hit - Not Home Run
673,87.5,8,Out
6593,100.6,-5,Hit - Not Home Run
13443,69.7,-3,Out
281,79.1,23,Hit - Not Home Run
15010,80.0,69,Out
2640,78.5,13,Out
8598,80.0,69,Out
3712,92.6,-22,Out
5370,82.9,-21,Out
8700,92.6,33,Out
10718,88.7,17,Hit - Not Home Run
3826,61.5,30,Hit - Not Home Run
12733,87.1,-12,Out
15633,80.0,69,Out
7234,65.6,32,Hit - Not Home Run
6863,63.4,-17,Out
9964,110.6,12,Hit - Not Home Run
3245,92.9,20,Hit - Not Home Run
5879,82.9,-21,Out
221,96.2,4,Out
4205,74.0,4,Out
13081,99.2,42,Out
1702,73.1,37,Out
9925,78.9,37,Out
12255,89.2,39,Out
1947,99.9,-11,Hit - Not Home Run
998,95.0,36,Out
20,75.5,-12,Out
163,93.8,39,Out
13474,82.9,-21,Out
8727,40.0,-36,Hit - Not Home Run
14912,90.5,0,Out
2532,88.7,-2,Out
7097,88.1,29,Out
8419,95.1,22,Out
7532,101.8,20,Out
12149,107.9,-9,Hit - Not Home Run
8417,96.4,3,Hit - Not Home Run
3877,92.2,41,Out
8929,74.2,-15,Out
11912,90.9,11,Hit - Not Home Run
12432,89.3,-13,Out
1981,84.2,16,Hit - Not Home Run
8159,93.6,9,Hit - Not Home Run
8559,100.0,19,Out
11497,103.0,15,Hit - Not Home Run
9651,94.2,35,Out
7323,61.1,76,Out
4431,51.8,24,Out
10151,87.1,65,Out
1669,103.0,-3,Out
4432,102.0,9,Out
10796,56.3,-56,Out
9854,99.8,23,Hit - Not Home Run
4528,97.2,0,Out
12054,80.8,45,Out
12506,83.7,28,Out
10179,72.9,9,Hit - Not Home Run
5746,75.9,-7,Out
8900,98.0,38,Out
12003,97.3,15,Hit - Not Home Run
403,97.6,31,Hit - Not Home Run
13775,98.5,23,Out
11207,80.0,69,Out
14245,97.1,21,Out
5282,78.6,-22,Out
9534,108.3,14,Hit - Not Home Run
9270,102.7,37,Out
5599,66.5,-52,Out
6595,98.1,-11,Out
14326,91.2,-22,Out
6159,77.5,9,Out
1020,59.5,-30,Out
6766,99.8,5,Hit - Not Home Run
465,90.8,9,Hit - Not Home Run
14937,101.5,-12,Hit - Not Home Run
14532,82.9,-21,Out
7652,94.8,-1,Out
10021,68.4,43,Out
10075,103.4,8,Hit - Not Home Run
8407,66.7,-44,Out
7240,100.7,30,Out
11314,100.4,12,Hit - Not Home Run
6058,99.9,25,Hit - Not Home Run
11372,80.8,29,Out
9865,100.4,13,Hit - Not Home Run
5213,84.6,-19,Hit - Not Home Run
9337,64.1,-70,Out
9526,100.6,10,Hit - Not Home Run
12333,77.1,4,Out
14764,90.9,-21,Out
10087,78.7,-33,Out
5789,82.9,-21,Out
2975,98.5,14,Hit - Not Home Run
9057,95.0,26,Out
4551,78.2,-35,Out
3320,92.8,27,Out
