"Borough","Year.Filed","Year.Settled","Claim.Type","Settlement.Amount"
"BRONX","2008",2016,"Peace Officer/Police Action (Pi)",55000
"MANHATTAN (NEW YORK)","2014",2016,"Automobile Accident",1866.52
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",20000
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",9000
"BRONX","2015",2016,"Automobile Accident (Pi)",5000
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",15000
"** Borough Missing **","2015",2016,"Automobile Accident",1457.05
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",11000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",8000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",6500
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",20000
"BRONX","2009",2016,"Peace Officer/Police Action (Pi)",17000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",30000
"BRONX","2011",2016,"Peace Officer/Police Action (Pi)",35000
"BRONX","2015",2016,"Automobile Accident (Pi)",12000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",10000
"STATEN ISLAND (RICHMOND)","2014",2016,"Civil Rights Claims",15000
"BROOKLYN (KINGS)","2011",2016,"Automobile Accident (Pi)",125000
"** Borough Missing **","2014",2016,"Automobile Accident",2839.19
"BRONX","2010",2016,"Peace Officer/Police Action (Pi)",40000
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",17500
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",70000
"QUEENS","2015",2016,"Civil Rights Claims",1000
"STATEN ISLAND (RICHMOND)","2016",2016,"Peace Officer/Police Action (Pi)",17500
"MANHATTAN (NEW YORK)","2011",2016,"Peace Officer/Police Action (Pi)",37500
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",12500
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",15000
