"launch_speed","launch_angle","event"
97,19,"Out"
93.2,17,"Hit - Not Home Run"
81.6,43,"Out"
106,-7,"Out"
94.7,36,"Out"
84.4,3,"Out"
79.1,-28,"Out"
93.2,13,"Hit - Not Home Run"
68.1,-6,"Out"
94.3,6,"Hit - Not Home Run"
96.2,10,"Hit - Not Home Run"
94.7,-4,"Out"
105.1,20,"Hit - Not Home Run"
80,69,"Out"
76.7,-3,"Out"
80,69,"Out"
77.4,34,"Hit - Not Home Run"
111.5,0,"Hit - Not Home Run"
88.6,17,"Hit - Not Home Run"
100.1,20,"Hit - Not Home Run"
82.7,58,"Out"
69.8,-42,"Out"
80,69,"Out"
102.5,36,"Home Run"
80.5,86,"Out"
104,24,"Home Run"
93.5,17,"Hit - Not Home Run"
101.9,27,"Out"
80,69,"Out"
94.4,39,"Out"
90.3,-17,"Hit - Not Home Run"
82.7,13,"Hit - Not Home Run"
101.6,4,"Hit - Not Home Run"
75.7,22,"Hit - Not Home Run"
97.5,26,"Out"
88.2,32,"Out"
88.3,29,"Out"
101.9,16,"Hit - Not Home Run"
86,-21,"Out"
78.2,-36,"Out"
98.7,11,"Hit - Not Home Run"
99.7,-4,"Hit - Not Home Run"
96.6,28,"Hit - Not Home Run"
95.2,29,"Out"
99.4,10,"Hit - Not Home Run"
98.6,28,"Out"
103.6,-16,"Out"
108.7,11,"Hit - Not Home Run"
99,19,"Out"
74.7,13,"Out"
91.2,-2,"Out"
99.2,8,"Hit - Not Home Run"
79,34,"Out"
92.2,36,"Out"
46.6,41,"Out"
95.5,30,"Out"
107.7,19,"Hit - Not Home Run"
82.9,-21,"Out"
80,69,"Out"
103.1,12,"Hit - Not Home Run"
105.6,-4,"Hit - Not Home Run"
93.1,30,"Out"
57.9,6,"Out"
83.8,18,"Hit - Not Home Run"
65.8,-21,"Out"
93.7,9,"Hit - Not Home Run"
91.8,11,"Hit - Not Home Run"
106.6,-8,"Out"
103.3,7,"Hit - Not Home Run"
113.8,8,"Hit - Not Home Run"
85.2,18,"Out"
100.9,11,"Hit - Not Home Run"
92.1,18,"Hit - Not Home Run"
93.9,32,"Out"
41,-39,"Out"
80,69,"Out"
97,30,"Home Run"
91.7,51,"Out"
101.6,-7,"Hit - Not Home Run"
95.8,-12,"Out"
91.2,-20,"Out"
103.1,14,"Hit - Not Home Run"
105.9,19,"Hit - Not Home Run"
92.2,31,"Hit - Not Home Run"
99,1,"Hit - Not Home Run"
89.7,3,"Out"
99,12,"Hit - Not Home Run"
93.4,39,"Hit - Not Home Run"
101.7,32,"Out"
98,-1,"Out"
112.4,15,"Out"
98.3,-8,"Hit - Not Home Run"
108.4,4,"Out"
107.1,11,"Hit - Not Home Run"
107,15,"Hit - Not Home Run"
101.9,11,"Hit - Not Home Run"
95.3,29,"Home Run"
98.7,13,"Hit - Not Home Run"
86.6,58,"Out"
95.7,-19,"Out"
92,3,"Hit - Not Home Run"
50,-38,"Hit - Not Home Run"
88.1,4,"Hit - Not Home Run"
87,0,"Out"
83.4,-7,"Out"
91.9,70,"Out"
81.3,11,"Out"
83.1,-24,"Out"
94.8,-26,"Hit - Not Home Run"
87.6,-15,"Out"
102.6,34,"Home Run"
73.5,33,"Out"
81.4,-25,"Out"
92.8,25,"Out"
102.2,6,"Hit - Not Home Run"
88.3,7,"Hit - Not Home Run"
101.3,-16,"Out"
82.9,-21,"Out"
100.7,38,"Out"
106.3,15,"Hit - Not Home Run"
92.8,40,"Out"
105.6,-28,"Out"
87.1,15,"Hit - Not Home Run"
111.3,24,"Home Run"
93.3,-14,"Hit - Not Home Run"
97.3,6,"Out"
106.2,22,"Home Run"
83.6,-25,"Out"
80.7,-27,"Out"
89,-14,"Out"
82.9,-21,"Out"
99.5,11,"Hit - Not Home Run"
65.5,41,"Out"
87,25,"Out"
103.2,29,"Home Run"
96.3,1,"Out"
76.1,-10,"Out"
87.6,21,"Out"
97.4,-20,"Out"
106.9,-3,"Out"
99.7,28,"Out"
97.2,-20,"Out"
75.1,-27,"Out"
90.2,48,"Out"
101.8,31,"Out"
103.4,-18,"Hit - Not Home Run"
101.4,38,"Home Run"
100.2,13,"Out"
100.7,5,"Hit - Not Home Run"
104.3,7,"Out"
74.5,-58,"Out"
108.4,10,"Hit - Not Home Run"
102.4,18,"Hit - Not Home Run"
99.5,-2,"Hit - Not Home Run"
101.2,39,"Hit - Not Home Run"
80,69,"Out"
78.7,37,"Out"
90.9,12,"Hit - Not Home Run"
74.7,-6,"Out"
93.8,26,"Hit - Not Home Run"
84.5,51,"Out"
76.4,86,"Out"
97.7,20,"Hit - Not Home Run"
83.7,-25,"Out"
68,42,"Hit - Not Home Run"
81.6,-27,"Out"
86.7,-2,"Out"
103.7,34,"Home Run"
97.8,-14,"Out"
69.8,-30,"Out"
100.6,-10,"Out"
